Ticker,Description,Last,Market Capitalization,Sector,1-Year Beta,Basic EPS (TTM),Country,Total Current Assets (MRQ),Total Liabilities (MRQ),Total Shares Outstanding (MRQ)
ZILL,LIKHACHOV PLANT PJ,3015,122915577.71716498,Consumer Durables,0.32937455,,Russian Federation,490117174.07879406,214083037.5463529,2659960
NNSB,TNS ENERGO NN,1770,122800846.88504998,Utilities,0.69330066,,Russian Federation,221706374.8995602,349197617.642912,4982910
KRSB,KRASNOYARSKENERGOS,10.1,122274857.28065997,Utilities,0.5862616,,Russian Federation,59082017.8356074,48022967.80613376,765033000
BRZL,BURYATZOLOTO,912,100648880.42005499,Non-Energy Minerals,0.3877134,,Russian Federation,197125265.66834855,14715930.90730135,7440280
KRKN,SARATOV OIL REFINE,8550,100256797.21358998,Energy Minerals,0.20128427,,Russian Federation,427771016.067,109393296.03,997349
RUSI,INVESTMENT CO IC,53.1,94960966.08710998,Miscellaneous,0.03601131,,Russian Federation,,1242141.05514163,109000000
ISKJ,HUMAN STEM CELLS,69.78,94028984.94172499,Health Technology,0.6100236,0.00212951,Russian Federation,8731073.74,16939083.116,85000000
SVAV,SOLLERS AUTO,174,93734629.69083,Consumer Durables,0.18211356,0.9455626,Russian Federation,459417768,570125960,34270000
URKZ,URALS STAMPINGS,10540,91002870.19394998,Producer Manufacturing,0.3804468,49.99565366,Russian Federation,80782244.536,81318948.404,547761
MRKV,ROSSETI VOLGA,0.0302,90097729.09918498,Utilities,0.55478364,0.00003564,Russian Federation,108124966.768,283098924.601,188308000000
PMSB,PERM ENERGY SUPPLY,118.8,89181731.197305,Utilities,0.05042049,,Russian Federation,60085950.47205001,48846314.42349942,47564500
MRKY,ROSSETI SOUTH,0.0356,84725435.56261499,Utilities,0.4326891,0.00009733,Russian Federation,128222909.128,525240443.24100006,151641000000
KGKC,KURGAN GENERATION,38.8,83648746.07138999,Utilities,0.24192195,,Russian Federation,59348821.48337456,73328483.02002499,136846100
UWGN,UNITED WAGON COMPA,44.3,80989814.74961999,Producer Manufacturing,0.99653625,,Russian Federation,314248285.849998,1526726230.1567202,115997000
TGKB,TERRITORIAL GENER,0.00339,78295788.45469499,Utilities,0.35517585,,Russian Federation,155281046.68209824,531127403.5401355,1474900500000
RTSB,TNS ENERGO ROSTOV,0.554,76051186.7736,Utilities,0.695815,,Russian Federation,85383149.65566425,125695495.23158991,9054507000
MGNZ,SOLIKAMSK MAGNESIU,11740,73802053.27061999,Non-Energy Minerals,-0.04049102,,Russian Federation,39029906.85200001,24330746.909,398272
RZSB,RYAZANENERGOSBYT,20.84,67341406.31973,Utilities,0.13897517,,Russian Federation,14062094.04862451,10798618.00292114,206940220
SAGO,SAMARAENERGO,1.202,66846895.89056998,Utilities,0.366211,,Russian Federation,76305009.69600001,45425112.09600001,3538930000
UNKL,SOUTHERN URALS NIC,6400,59820166.190295,Non-Energy Minerals,0.6331219,,Russian Federation,261355.68766537,17446576.97009187,599737
TGKN,TGC-14,0.00265,55871859.64084499,Utilities,0.31521392,,Russian Federation,30913177.56663934,61869172.95085669,1357945609114
SLEN,SAKHALINENERGO,2.83,53987865.170325,Utilities,0.37432125,,Russian Federation,63963203.91972354,399962684.7510424,1237180000
YRSB,TNS ENERGO YAROSAV,170,53205862.37618999,Utilities,0.11545955,,Russian Federation,32853873.24666649,88543851.98833187,17143600
CHKZ,CHELYABINSK FORGE&,5480,51823192.31501999,Producer Manufacturing,-0.04435175,,Russian Federation,137421428.784,175858818.947,800288
KMEZ,KOVROV MECHANICAL,883,51630736.60988999,Producer Manufacturing,0.27658513,,Russian Federation,37671986.49760382,12885849.72424395,3764600
RTGZ,GAZPROM GA ROSTOV-,26200,49099688.67577499,Utilities,0.28078642,,Russian Federation,42605234.23180482,91281906.32370435,120246
MAGE,MAGADANENERGO,5.48,47631075.41263499,Utilities,0.27990055,,Russian Federation,58039496.97277482,110891029.47557753,609511522
EELT,EUROPEAN ELTECH,4.94,47344113.18702,Electronic Technology,0.32360244,,Russian Federation,30192981.32743448,22015051.94124322,610000000
RDRB,ROSDORBANK,156,45474501.86364,Finance,0.48728135,,Russian Federation,32660303.31112593,336115460.2710061,18947000
KROT,KRASNYJ OCTYABR,306,44389712.16217499,Consumer Non-Durables,0.4561584,,Russian Federation,78282920.6460453,49578652.4159625,9217580
MRKZ,ROSSETI NORTH-WEST,0.0289,42620118.324375,Utilities,0.51601344,-0.00012207,Russian Federation,122428121.564,426628599.404,95785900000
KBSB,TNS ENERGO KUBAN,147,42331273.99182,Utilities,0.47222814,,Russian Federation,115146967.23095477,157037056.30241862,17869400
IGST,IZHSTAL PAO PUBIC,2386,40225154.09061,Non-Energy Minerals,0.13614695,,Russian Federation,72856624.64734845,201221348.1315799,1067639
YKEN,YAKUTSKENERGO,0.264,37782852.819435,Utilities,0.15792765,,Russian Federation,261205113.4987003,892042429.0624567,9296200000
NFAZ,NEFAZ PTC,266,33451412.204295,Consumer Durables,0.53761107,,Russian Federation,118898773.905,122399764.61600003,8038896
MISB,TNS ENERGO MARI EL,16.2,32494383.641745,Utilities,0.4897781,,Russian Federation,22863311.456,17366883.24,121848000
ZVEZ,ZVEZDA,3.64,32408631.99501,Producer Manufacturing,0.58443415,,Russian Federation,72086895.85800736,136675400.59812558,562021000
NAUK,NPO NAUKA,170,31456178.081925,Electronic Technology,0.3542001,,Russian Federation,35100981.01248709,35818258.51355517,11789500
CNTL,CENTRAL TELEGRAPH,8.86,28331458.956105,Communications,0.48394027,,Russian Federation,5918590.56519082,8893508.22828279,
GRQ,DON AGRO,0.25,27473607.1088,Process Industries,0.18070814,0.05091357,Russian Federation,27785321.2,15933650,150273000
PRFN,CHELYABINSK PLANT,1.885,24666171.40908,Producer Manufacturing,0.4251075,0.00278761,Russian Federation,30879531.892,34806966.036,838287450
GTRK,GLOBALTRUCK MGMT,23.6,21821615.4747,Transportation,0.5114789,,Russian Federation,47584585.03812949,76884675.24574389,58462100
LPSB,LIPETSK POWER SALE,8.6,20844764.397405,Utilities,0.25342873,0.04708282,Russian Federation,36207761.672,16017103.064,155522000
NKSH,NIZHNEKAMSKSHINA C,20.06,19984196.761095,Producer Manufacturing,0.42995557,,Russian Federation,7911823.76799532,75475164.16006307,65701110
VGSB,VOLGOGRADENERGOSBY,3.565,19977711.780255,Utilities,0.5901436,-0.00152033,Russian Federation,79345073.581,173935638.173,400095100
TORS,TOMSK DISTRIBUTION,0.274,18446305.274145,Utilities,0.3215708,0.00006501,Russian Federation,7525450.384,19272035.36,3819320000
LIFE,PHARMSYNTHEZ,3.655,17381089.849545,Health Technology,0.8627499,,Russian Federation,4408031.35227921,15258542.68846068,301011000
AMC,AMUR MINERALS CORPORATION ORD NPV,1.04,17285057.405,Non-Energy Minerals,3.8324497,,Russian Federation,2289000.27090318,981000.11610136,1392870000
GEMA,INTL MED CNTR OF B,700,16252892.977515,Health Technology,0.33531672,,Russian Federation,2423234.45690954,5917048.77703216,
RBCM,RBC,2.696,15305792.402835,Technology Services,0.2407587,,Russian Federation,47362419.69948134,248173603.8010395,350654420
CHGZ,RN-WESTERN SIBERIA,36.2,15103819.468095,Energy Minerals,0.53255457,0.01379262,Russian Federation,,365413.395,26771400
RUGR,RUSGRAIN HOLDING,20.07,13396772.8017,Process Industries,1.251783,,Russian Federation,49972121.51789253,237649861.25626147,42984000
DZRD,DONSKOY FACTORY OF,1860,13362155.36853,Consumer Durables,0.3671757,,Russian Federation,9574326.83081076,14583025.91107637,457876
DASB,DAGESTAN ENERGY SU,0.16,13007676.22671,Utilities,0.7546782,,Russian Federation,17719706.88093561,602586243.4254781,5269110000
KLSB,KALUGA POWER SALE,8.71,12732664.454415,Utilities,0.6251901,,Russian Federation,38974275.08805166,78351185.49779135,91487300
TASB,TAMBOV POWER SUPPL,0.457,12069418.64337,Utilities,0.6188984,,Russian Federation,10038902.88924449,7221947.6905345,1525990000
TUZA,TUIMAZINSKIY ZAVOD,95,12042218.189625,Transportation,0.62086165,,Russian Federation,7474704.04681171,9342088.89682063,8220000
DIOD,DIOD,7.98,11721946.42404,Health Technology,0.24867563,,Russian Federation,13440455.44578851,3502204.54268572,91500000
ROST,ROSINTER RESTAURAN,45,11536986.277905,Consumer Services,-0.05970843,0.07675803,Russian Federation,15323385.684,160024604.992,15611061
ARSA,ARSAGERA ASSET MG,5.73,11172908.396925,Finance,0.589503,,Russian Federation,,303805.149,123817000
ORUP,OR GROUP,5.82,10571866.544415,Retail Trade,1.400426,,Russian Federation,415744719.2955319,239211292.51495817,113056000
LVHK,LEVENHUK INC,12.27,10478387.29362,Distribution Services,0.28091583,,Russian Federation,19086001.11972426,8675891.84394493,52940000
STSB,STAVROPOLENERGOSBY,0.6505,8769583.948365,Utilities,0.31261826,,Russian Federation,25257148.08533889,36301216.99148982,859075000
ASSB,ASTRAKHAN POWER SA,0.721,8762486.040645,Utilities,0.42522594,,Russian Federation,61333580.63999496,59555313.42012793,773900078
SARE,SARATOVENERGO,0.1148,8719647.31737,Utilities,0.27747166,,Russian Federation,29075625.19078431,41625146.98091951,6442822580
KTSB,KOSTROMSKAYA SBYTO,0.59,8590813.572,Utilities,0.5361174,,Russian Federation,19922687.00969287,14349334.80439731,1005331000
MRSB,MORDOVIA ENERGY RE,0.335,7190107.504635,Utilities,0.3773833,0.0015121,Russian Federation,12102880.978,15669222.492,1345037710
VLHZ,VLADIMIR CHEMICAL,70.6,5612988.33891,Process Industries,0.6825743,,Russian Federation,9015394.9690233,12697291.30977988,5005610
GRNT,CITY INNOVATIVE TE,0.2115,3910871.56647,Commercial Services,0.42273924,,Russian Federation,23134152.58207503,14122829.65151897,1169880000
ELTZ,ELECTROZINK,156.5,3425180.84466,Non-Energy Minerals,0.46452692,,Russian Federation,20603199.43506028,44382161.61605749,1404310
ODVA,MEDIAHOLDING,0.0862,879305.715585,Consumer Services,0.31736508,,Russian Federation,183385.64644912,6979441.15082467,700000000
SIBG,ICE STEAM RUS,0.0535,542874.64275,Distribution Services,0.6910181,,Russian Federation,1077207.58839046,2511823.49422411,633330000
